item_id,user_id,rating,timestamp,title,brand,category,description
B000068TKW,A23IOPI0D1OG7V,0,1025913600,"<span id=""parentalAdvisory"" class=""a-size-medium a-color-secondary a-text-normal""",Truth Hurts,"['CDs & Vinyl', 'Blues', 'Contemporary Blues']","[""Significantly Different Version of Truth Hurts Debut Album with Five Different Tracks and One More Track in Quantity Than It's American Counterpart."", 'Truth Hurt\'s vocals have a frosty chill. The singer, a protg of hitmaker <a href=""/exec/obidos/tg/stores/artist/glance/-/45377/${0}"">Dr. Dre</a>, lustily moans and wails about a lover who turns her pages on the sinewy Dre and <a href=""/exec/obidos/tg/stores/artist/glance/-/39719/${0}"">DJ Quik</a> collaboration ""Addictive,"" but her edgy resolve and steely seductiveness undercut any notion of romance. This makes her inviting moment of passion more like a warning shot. That push and pull between distance and desire is present throughout most of this rugged effort. From the mournful lament ""Bullshit"" (produced by Organized Noize) to a seething, if somewhat pedantic, duet with <a href=""/exec/obidos/tg/stores/artist/glance/-/35840/${0}"">R. Kelly</a> (""The Truth"") or the loose and limber tale of a lover in prison (""Jimmy""), Truth Hurts creates her R&B in a space where men and life never fail to disappoint. Luckily, that dejected and bitter outlook makes for an often-fierce CD. <I>--Amy Linden</I>']"
B00006IR5V,A23IOPI0D1OG7V,0,1035676800,Shaman,Santana,"['CDs & Vinyl', 'Rock', 'Rock Guitarists', 'Guitar Gods']","['Santana ~ Shaman', 'How could Carlos Santana hope to follow the massive comeback album <I><a href=""/exec/obidos/ASIN/B00000J7J4/${0}"">Supernatural</I></a>? The solution he settled upon was to once again pull in as many guest artists as possible. <I>Shaman</I> features a slew of stars, but, despite their presence, the instrumental ""Victory Is Won"" is the standout track here, as Santana blazes through an exhibition of his patented fusion of Latin and rock. In contrast, the sugary pop single ""The Game of Love,"" sung by <a href=""/exec/obidos/ts/artist-glance/219107/${0}"">Michelle Branch</a>, illustrates the lack of consistency that mars the album. Only <a href=""/exec/obidos/ts/artist-glance/154170/${0}"">Ozomatli</a> and <a href=""/exec/obidos/ts/artist-glance/183508/${0}"">Macy Gray</a> seem to totally <I>get</I> Santana. That said, his cover of <a href=""/exec/obidos/ts/artist-glance/41136/${0}"">Angelique Kidjo</a>\'s ""Adouma"" is storming, and Santana stands strong when he ventures into world-music territory (""Foo Foo,"" ""Aye, Aye""). However, if the celebrated guitarist had concentrated a little more on who he is and not on who he believes people would like him to be, he\'d have made a better album. <I>--Jake Barnes</I>']"
B00006RU5B,A23IOPI0D1OG7V,1,1041465600,Audioslave,Audioslave,"['CDs & Vinyl', 'Metal', 'Alternative Metal']","['2002 debut from this band featuring former Soundgarden vocalist Chris Cornell backed by 3/4ths of Rage Against The Machine.', 'The debut of thundering supergroup Audioslave--featuring members of <a href=""/exec/obidos/ts/artist-glance/47322/${0}"">Rage Against the Machine</a> post-Zack de la Rocha with ex-<a href=""/exec/obidos/ts/artist-glance/43982/${0}"">Soundgarden</a> singer Chris Cornell--is as much curio as fascinating blend of visions. Cornell might be outnumbered, but his unmistakable holler and nihilistic imagery ensure that <I>Audioslave</I>, the album, recalls early Soundgarden. That\'s especially true since de la Rocha took Rage\'s signature rap and politicking with him. Still, if this is Soundgarden, it\'s Soundgarden set to stun. Rage guitarist Tom Morello is more of a mauler than Kim Thayil ever was--witness ""Shadow on the Sun,"" which moves from bruising thud to psychedelic freak-out and back again--while the Rage rhythm section of Tim Commerford and Brad Wilk anchor the bottom end with pure instrumental cement. Intentionally or not, ""Gasoline"" bears passing resemblance to ""Rusty Cage,"" while the sweeping ""I Am the Highway"" and slow-burning ""The Last Remaining Light"" best showcase Cornell\'s surprisingly New Age-y lyrical bent. Cover art by Storm Thorgerson, who gave <a href=""/exec/obidos/ts/artist-glance/42497/${0}"">Pink Floyd</a> records their distinctive stamp, underscores the set\'s inherent celebrity. Fans of Rage and Soundgarden can raise clenched fists in unison, for Audioslave is win-win. <I>--Kim Hughes</I>']"
B00007B9DP,A23IOPI0D1OG7V,1,1046563200,"<span id=""parentalAdvisory"" class=""a-size-medium a-color-secondary a-text-normal""",The Roots,"['CDs & Vinyl', 'Rap & Hip-Hop', 'East Coast']","['No Description Available<br>No Track Information Available<br><b>Media Type: </b>CD<br><b>Artist: </b>ROOTS<br><b>Title: </b>PHRENOLOGY<br><b>Street Release Date: </b>11/26/2002<br><Domestic or Import: </b>Domestic<br><b>Genre: </b>RAP/HIP HOP', 'If you were wondering what the heck <i>phrenology</i> means, the Roots wouldn\'t have it any other way. Hip-hop\'s hardest-working live band continues where they left off with <I><a href=""/exec/obidos/ASIN/B00000I5JL/${0}"">Things Fall Apart</a></I>, forcing listeners to think outside of the Hot 97 FM box--or just plain think. On ""Thought at Work,"" lead emcee Black Thought--the most criminally underrated wordsmith of his time--weaves captivating flows over a neck-snapping break beat, while on ""Water"" he boldly addresses the controversy surrounding his partner-in-rhyme Malik B\'s alleged substance abuse. While collaborations with <a href=""/exec/obidos/ts/artist-glance/211430/${0}"">Nelly Furtado</a> (""Sacrifice"") and <a href=""/exec/obidos/ts/artist-glance/181654/${0}"">Talib Kweli</a> (""Rhymes and Ammo"") read much better on paper than they sound, the catchy, up-tempo call-and-response routine utilized by the crew on the latter song will amp up Roots nonbelievers. As a bonus, <a href=""/exec/obidos/ts/artist-glance/207808/${0}"">Jill Scott</a>\'s dreamy falsetto refrain hammers home some finer points about love on ""Complexity."" <I>--Dalton Higgins</I>']"
B00007MI2A,A23IOPI0D1OG7V,1,1054512000,The Headphone Masterpiece,Cody Chesnutt,"['CDs & Vinyl', 'R&B', 'Soul']","[""The illegitimate son of Marvin Gaye, rocks with the heart of Hendrix & the soul of Prince, the result? A real raw Soul with a taste of black Rock 'n' Roll! Cody is featured on the Roots' single 'The Seed' & the original version is on this album. CD 2 is a"", 'When you put the word ""masterpiece"" in the title of your debut double CD, you\'d damn well better be able to back it up. Thankfully, Cody Chesnutt has the goods. This precocious, sex-obsessed, spaced-out, spiritual singer is practically bursting at the seams with talent and ideas. With <I>The Headphone Masterpiece</I>, he delivers a homemade, lo-fi stew made of smooth funk, forceful rock, and gritty hip-hop, all topped off by the sweet-crooning voice of a great soul singer. Across 36 tracks, Chesnutt invites you into his psyche, and it\'s a unique journey to say the least, wending as it does from the weightiest of spiritual concerns to that morning\'s hard-on. So is it a masterpiece? Well, not quite. Even Mr. Chesnutt must believe that he\'s got better music still in him. But <I>The Headphone Masterpiece</I> is an ambitious opening salvo from an artist who may well take his place in the celebrated lineage that extends from <a href=""/exec/obidos/ts/artist-glance/12907/${0}"">Hendrix</a> and <a href=""/exec/obidos/ts/artist-glance/61576/${0}"">Sly Stone</a> through <a href=""/exec/obidos/ts/artist-glance/39504/${0}"">George Clinton</a>, <a href=""/exec/obidos/ts/artist-glance/51163/${0}"">Prince</a>, <a href=""/exec/obidos/ts/artist-glance/76053/${0}"">D\'Angelo</a>, and so on. Once he learns to harness his surging electricity, Chesnutt may offer us a true masterpiece--or even a few of them. <I>--Marc Greilsamer</I>']"
B00008ACIN,A23IOPI0D1OG7V,1,1054512000,Elephant,The White Stripes,"['CDs & Vinyl', 'Alternative Rock', 'Hardcore & Punk', 'Punk']","['White Blood Cells may have been a reaction to the amount of fame the White Stripes had received up to the point of its release, but, paradoxically, it made full-fledged rock stars out of Jack and Meg White and sold over half a million copies in the process. Despite the White Stripes\' ambivalence, fame nevertheless seems to suit them: They just become more accomplished as the attention paid to them increases. Elephant captures this contradiction within the Stripes and their music; it\'s the first album they\'ve recorded for a major label, and it sounds even more pissed-off, paranoid, and stunning than its predecessor. Darker and more difficult than White Blood Cells, the album offers nothing as immediately crowd-pleasing or sweet as ""Fell in Love With a Girl"" or ""We\'re Going to Be Friends,"" but it\'s more consistent, exploring disillusionment and rejection with razor-sharp focus. Chip-on-the-shoulder anthems like the breathtaking opener, ""Seven Nation Army,"" which is driven by Meg White\'s explosively minimal drumming, and ""The Hardest Button to Button,"" in which Jack White snarls ""Now we\'re a family!"" -- one of the best oblique threats since Black Francis sneered ""It\'s educational!"" all those years ago -- deliver some of the fiercest blues-punk of the White Stripes\' career.']"
B00008BNUJ,A23IOPI0D1OG7V,1,1069200000,Kemistry,Kem,"['CDs & Vinyl', 'Blues', 'Contemporary Blues']",['No Description Available<br>No Track Information Available<br><b>Media Type: </b>CD<br><b>Artist: </b>KEM<br><b>Title: </b>KEMISTRY<br><b>Street Release Date: </b>02/25/2003<br><Domestic or Import: </b>Domestic<br><b>Genre: </b>SOUL/R & B']
B00008J2DR,A23IOPI0D1OG7V,0,1056153600,"<span id=""parentalAdvisory"" class=""a-size-medium a-color-secondary a-text-normal""",Godsmack,"['CDs & Vinyl', 'Alternative Rock', 'Goth & Industrial', 'Industrial']","['Godsmack ~ Faceless', 'Fans of Godsmacks dark, swirling, commanding music will be delighted by the Boston bands powerful third effort, which mixes arena rock in the vein of an <a href=""/exec/obidos/ts/artist-glance/70103/${0}"">Alice in Chains</a> (in fact, Godsmack takes its name from an AIC song) with the aggression of <a href=""/exec/obidos/ts/artist-glance/72865/${0}"">Pantera</a>. With new drummer Shannon Larkin (formerly of Amen), Godsmack stick with the riff-heavy, layered tunes and sharp, confident bridge-burning lyrics (witness the convincing vitriol of ""I F@?king Hate You""). Highlights include Sully Ernas gut-spewing scream on ""Changes,"" the memorable chorus and commanding assured ""I Stand Alone,"" and the radio-ready ""Straight out of Line."" The tribal drums and chanting of the instrumental ""The Awakening"" sets the stage for ""Serenity,"" the final track, which brings <I>Faceless</I> full circle, the acoustic guitars, congas and strings providing a sinuous conclusion to a potent alb! um. <I>--Katherine Turman</I>']"
B00008IXAR,A23IOPI0D1OG7V,1,1069804800,Home,Simply Red,"['CDs & Vinyl', 'R&B', 'Soul', 'Blue-Eyed Soul']","[""Simply Red are back with their first studio album in more than three years. Released on their own simplyred.com label, 'Home' features original new songs destined to become Simply Red classics, including the warm sentiments of the title track ('A loving memory/After long, home is a place where I yearn to belong') & the R&B celebration that is 'Fake'. The album also features some irrepressible covers, including 'Money in My Pocket', the Stewart Levine-produced 'You Make Me Feel Brand New' & the Dylan classic 'Positively 4th Street'. Includes the single 'Sunrise'. 11 tracks. Simply Red. 2003.""]"
B0000AGWFZ,A23IOPI0D1OG7V,1,1080000000,"<span id=""parentalAdvisory"" class=""a-size-medium a-color-secondary a-text-normal""",Outkast,"['CDs & Vinyl', 'R&B', 'Contemporary R&B']","['Outkast ~ Speakerboxxx/The Love Below', 'At a time when experimentation is taboo in most overground rap, thats all Outkast seem intent on executing. Firstly, this double CD has no cohesive link, other than the fact that it sounds like a pair of solo albums stitched together to demo exactly how Andres yin works to augment Big Bois yang. Andre 3000s <I>Love Below</I> disc rates as the more eclectic of the two, given that hes turned in his emcee credentials to become a full-on funk-soul-jazz vocalist who mostly sings about items of love (""Happy Valentine\'s Day""), carnal lust (""Spread""), and female adoration (""Prototype""). Minus the big band schmaltz of ""Love Hater"" and cheesy cover jobs (""My Favorite Things""), Andres disc is sick (meaning great). As is to be expected, the Big Boi disc is less arty, more gangsta and worldly, and features the less-progressive guest raps of ATL crunk purveyors <a href=""/exec/obidos/ts/artist-glance/44512/${0}"">Lil Jon and The Eastside Boyz</a> (""Last Call"") and <a href=""/exec/obidos/ts/artist-glance/69727/${0}"">Jay-Z</a> who rhymes the hook on ""Flip Flop Rock"". Unlike Big Boi, Andre keeps his collabos to a minimum, once crooning alongside <a href=""/exec/obidos/ts/artist-glance/230637/${0}"">Norah Jones</a> on the cool yet sappy ""Take Off Your Cool"", and once with <a href=""/exec/obidos/ts/artist-glance/188817/${0}"">Kelis</a>. Boi fulfills his Dungeon Family duty with flying colors by flipping some dirty southern up-tempo raps over electro beats on ""GhettoMusick"". By the time <a href=""/exec/obidos/ts/artist-glance/234628/${0}"">Cee-Lo</a> sermonizes on ""Reset"", <I>Speakerboxx</I> and <I>Love Below</I> rate mostly as majestic and inspiring, with the remaining 23 per cent being just plain incredible <I>--Dalton Higgins</I>']"
